ORDER ID,ORDER DATE,ITEM NUMBER,PRODUCT LINE,PRODUCT CODE,ITEM QUANTITY,ITEM PRICE,STATUS,CUSTOMER NAME,ADDRESS,CITY,STATE,POSTAL CODE,COUNTRY
10107,2/24/2019,2,Motorcycles,S10_1678,30,95.7,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA
10121,5/7/2019,5,Motorcycles,S10_1678,34,81.35,Shipped,Reims Collectables,59 rue de l'Abbaye,Reims,,51100,France
10134,7/1/2019,2,Motorcycles,S10_1678,41,94.74,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France
10145,8/25/2019,6,Motorcycles,S10_1678,45,83.26,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA
10159,10/10/2019,14,Motorcycles,S10_1678,49,100,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,,USA
10168,10/28/2019,1,Motorcycles,S10_1678,36,96.66,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA
10180,11/11/2019,9,Motorcycles,S10_1678,29,86.13,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France
10188,11/18/2019,1,Motorcycles,S10_1678,48,100,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway
10201,12/1/2019,2,Motorcycles,S10_1678,22,98.57,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,,USA
10211,1/15/2020,14,Motorcycles,S10_1678,41,100,Shipped,Auto Canal Petit,"25, rue Lauriston",Paris,,75016,France
10223,2/20/2020,1,Motorcycles,S10_1678,37,100,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia
10237,4/5/2020,7,Motorcycles,S10_1678,23,100,Shipped,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,10022,USA
10251,5/18/2020,2,Motorcycles,S10_1678,28,100,Shipped,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA
10263,6/28/2020,2,Motorcycles,S10_1678,34,100,Shipped,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA
10275,7/23/2020,1,Motorcycles,S10_1678,45,92.83,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France
10285,8/27/2020,6,Motorcycles,S10_1678,36,100,Shipped,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA
10299,9/30/2020,9,Motorcycles,S10_1678,23,100,Shipped,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,21240,Finland
10309,10/15/2020,5,Motorcycles,S10_1678,41,100,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway
10318,11/2/2020,1,Motorcycles,S10_1678,46,94.74,Shipped,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA
10329,11/15/2020,1,Motorcycles,S10_1678,42,100,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA
10341,11/24/2020,9,Motorcycles,S10_1678,41,100,Shipped,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria
10361,12/17/2020,13,Motorcycles,S10_1678,20,72.55,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia
10375,2/3/2021,12,Motorcycles,S10_1678,21,34.91,Shipped,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France
10388,3/3/2021,4,Motorcycles,S10_1678,42,76.36,Shipped,FunGiftIdeas.com,1785 First Street,New Bedford,MA,50553,USA
10403,4/8/2021,7,Motorcycles,S10_1678,24,100,Shipped,"UK Collectables, Ltd.",Berkeley Gardens 12 Brewery,Liverpool,,WX1 6LT,UK
10417,5/13/2021,2,Motorcycles,S10_1678,66,100,Disputed,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain
10103,1/29/2019,11,Classic Cars,S10_1949,26,100,Shipped,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway
10112,3/24/2019,1,Classic Cars,S10_1949,29,100,Shipped,"Volvo Model Replicas, Co",Berguvsva gen 8,Lule,,S-958 22,Sweden
10126,5/28/2019,11,Classic Cars,S10_1949,38,100,Shipped,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,28023,Spain
10140,7/24/2019,11,Classic Cars,S10_1949,37,100,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA
10150,9/19/2019,8,Classic Cars,S10_1949,45,100,Shipped,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore
10163,10/20/2019,1,Classic Cars,S10_1949,21,100,Shipped,Classic Legends Inc.,5905 Pompton St.,NYC,NY,10022,USA
10174,11/6/2019,4,Classic Cars,S10_1949,34,100,Shipped,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,4101,Australia
10183,11/13/2019,8,Classic Cars,S10_1949,23,100,Shipped,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA
10194,11/25/2019,11,Classic Cars,S10_1949,42,100,Shipped,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,69004,France
10206,12/5/2019,6,Classic Cars,S10_1949,47,100,Shipped,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada
10215,1/29/2020,3,Classic Cars,S10_1949,35,100,Shipped,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,94019,USA
10228,3/10/2020,2,Classic Cars,S10_1949,29,100,Shipped,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,MA,51247,USA
10245,5/4/2020,9,Classic Cars,S10_1949,34,100,Shipped,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA
10258,6/15/2020,6,Classic Cars,S10_1949,32,100,Shipped,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan
10270,7/19/2020,9,Classic Cars,S10_1949,21,100,Shipped,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia
10280,8/17/2020,2,Classic Cars,S10_1949,34,100,Shipped,Amica Models & Co.,Via Monte Bianco 34,Torino,,10100,Italy
10291,9/8/2020,11,Classic Cars,S10_1949,37,100,Shipped,Scandinavian Gift Ideas,Kergatan 24,Boras,,S-844 67,Sweden
10304,10/11/2020,6,Classic Cars,S10_1949,47,100,Shipped,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,78000,France
10312,10/21/2020,3,Classic Cars,S10_1949,48,100,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA
10322,11/4/2020,1,Classic Cars,S10_1949,40,100,Shipped,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,62005,USA
10333,11/18/2020,3,Classic Cars,S10_1949,26,100,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,,USA
10347,11/29/2020,1,Classic Cars,S10_1949,30,100,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia
10357,12/10/2020,10,Classic Cars,S10_1949,32,100,Shipped,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA
10369,1/20/2021,2,Classic Cars,S10_1949,41,100,Shipped,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,58339,USA
10381,2/17/2021,3,Classic Cars,S10_1949,36,100,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,,USA
10391,3/9/2021,4,Classic Cars,S10_1949,24,100,Shipped,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia
10411,5/1/2021,9,Classic Cars,S10_1949,23,100,Shipped,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada
10424,5/31/2021,6,Classic Cars,S10_1949,50,100,In Process,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain
10107,2/24/2019,5,Motorcycles,S10_2016,39,99.91,Shipped,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA
10120,4/29/2019,3,Motorcycles,S10_2016,29,96.34,Shipped,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia
10134,7/1/2019,5,Motorcycles,S10_2016,27,100,Shipped,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France
10145,8/25/2019,9,Motorcycles,S10_2016,37,100,Shipped,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA
10159,10/10/2019,17,Motorcycles,S10_2016,37,100,Shipped,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,,USA
10168,10/28/2019,4,Motorcycles,S10_2016,27,100,Shipped,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA
10180,11/11/2019,12,Motorcycles,S10_2016,42,100,Shipped,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France
10188,11/18/2019,4,Motorcycles,S10_2016,38,96.34,Shipped,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway
10201,12/1/2019,5,Motorcycles,S10_2016,24,100,Shipped,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,,USA
